68	1956.729	133.893	13.599	0.028	3022.231	9	2.391	1.537	0
69	865.714	137.756	12.741	0.011	2979.069	5	0.300	1.198	0
70	1816.727	140.434	12.857	0.018	2985.512	7	1.769	1.839	0
71	1703.024	141.262	10.689	0.011	3047.154	5	0.252	4.159	0
72	1318.144	146.264	12.505	0.013	3092.155	6	-0.220	1.650	0
73	1420.168	154.239	7.797	0.031	3484.652	7	4.362	26.433	0
74	1454.407	159.683	11.731	0.010	3249.522	5	0.340	2.214	0
75	1618.019	162.318	10.777	0.010	3058.661	4	-0.147	3.906	0
76	139.577	162.808	10.449	0.008	3067.879	5	0.322	3.329	0
77	1734.997	163.803	11.590	0.012	3001.074	5	0.714	2.847	0
78	694.238	162.164	7.770	0.015	3436.154	5	1.934	12.512	0
79	1896.053	167.387	9.924	0.013	3062.039	5	1.325	6.757	0
80	544.479	168.738	9.394	0.005	3079.003	5	0.511	3.070	0
81	1274.252	170.795	11.908	0.008	3038.388	6	-0.109	1.528	0
82	917.998	167.578	16.123	0.264	2969.728	10	-11.465	1.546	0
83	1236.865	179.430	10.376	0.011	3046.111	7	0.986	4.942	0
84	1622.378	187.936	12.987	0.021	3057.693	6	0.186	1.843	0
85	1175.134	189.930	13.106	0.017	2995.865	5	0.733	1.371	0
86	1810.454	190.884	13.477	0.030	3026.372	7	0.339	1.748	0
87	1924.157	191.257	9.425	0.016	3101.013	6	2.256	10.071	0
88	447.230	192.928	10.344	0.005	3085.483	6	-0.492	2.235	0
89	1861.578	192.270	12.679	0.020	3037.582	5	1.734	2.296	0
90	1064.605	194.308	7.985	0.013	3220.645	5	1.698	10.898	0
92	1370.214	200.929	7.013	0.025	3952.979	7	2.954	22.345	0
93	829.015	201.727	11.308	0.011	2986.692	8	-1.540	2.717	0
94	1713.254	203.958	11.528	0.013	3066.599	6	1.151	3.360	0
95	908.217	205.556	12.913	0.015	3001.433	5	-1.079	1.463	0
96	437.834	209.668	11.225	0.010	3103.181	8	-1.536	2.825	0
97	343.684	208.384	13.258	0.023	3087.695	10	0.626	1.645	0
98	1162.321	211.585	10.353	0.008	3020.712	5	-1.148	3.663	0
100	1817.257	212.669	9.008	0.019	3115.283	5	2.454	12.831	0
101	1487.305	225.448	6.795	0.021	4140.377	5	2.129	19.765	0
102	1767.549	225.209	8.398	0.017	3152.064	5	2.055	13.576	0
103	1515.414	225.882	9.061	0.012	3440.316	5	1.344	7.776	0
104	1649.661	226.326	10.005	0.010	3079.564	5	0.258	5.139	0
105	572.476	229.938	12.144	0.012	3113.7	6	-0.977	1.985	0
106	337.079	239.380	15.133	0.149	3093.593	35	0.225	2.098	0
